,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
108,0.004,0.02,-0.046,0.081,0.097,1.008,0.345,0.171,-0.714
109,0.004,0.02,-0.046,0.081,0.097,1.008,0.345,0.171,-0.714
110,-0.003,0.012,-0.033,0.081,0.097,1.008,0.322,0.169,-0.715
111,-0.008,0.012,-0.023,0.082,0.104,0.999,0.322,0.169,-0.715
112,0.001,0.014,-0.024,0.079,0.112,0.987,0.328,0.186,-0.715
113,0.0,0.007,-0.018,0.063,0.099,0.984,0.336,0.168,-0.706
114,-0.007,0.0,-0.015,0.06,0.094,0.987,0.325,0.169,-0.703
115,0.0,-0.003,-0.016,0.06,0.094,0.987,0.321,0.166,-0.711
116,0.005,-0.004,-0.023,0.06,0.093,0.993,0.312,0.174,-0.706
117,0.006,-0.006,-0.029,0.059,0.09,0.998,0.325,0.168,-0.708
118,0.007,-0.009,-0.035,0.056,0.087,0.997,0.342,0.171,-0.684
119,0.0,-0.009,-0.034,0.056,0.086,0.996,0.322,0.171,-0.708
120,-0.005,-0.009,-0.032,0.059,0.087,0.999,0.322,0.177,-0.687
121,-0.011,-0.006,-0.03,0.062,0.091,1.0,0.312,0.162,-0.712
122,-0.014,-0.004,-0.028,0.067,0.095,1.003,0.322,0.16,-0.721
123,-0.014,0.0,-0.03,0.07,0.097,1.0,0.315,0.174,-0.688
124,-0.009,0.002,-0.029,0.071,0.101,1.0,0.331,0.18,-0.711
125,-0.004,0.0,-0.024,0.068,0.106,0.994,0.331,0.18,-0.711
126,-0.003,-0.004,-0.018,0.065,0.107,0.986,0.315,0.18,-0.708
127,-0.004,-0.004,-0.025,0.066,0.102,0.987,0.315,0.18,-0.708
128,-0.016,-0.008,-0.012,0.066,0.098,0.993,0.325,0.18,-0.688
129,-0.008,0.002,-0.021,0.069,0.1,0.996,0.358,0.165,-0.732
130,-0.007,0.015,-0.032,0.071,0.104,0.992,0.309,0.172,-0.703
131,-0.011,0.002,-0.023,0.072,0.101,0.994,0.337,0.175,-0.714
132,-0.027,-0.016,0.009,0.07,0.099,0.991,0.328,0.18,-0.703
133,-0.023,-0.006,-0.007,0.07,0.099,0.991,0.318,0.186,-0.708
134,-0.022,0.006,-0.023,0.07,0.097,0.994,0.343,0.204,-0.706
135,-0.037,-0.01,-0.004,0.07,0.1,0.993,0.321,0.175,-0.706
136,-0.03,-0.011,-0.002,0.069,0.1,0.988,0.31,0.187,-0.706
137,-0.002,0.005,-0.022,0.07,0.103,0.982,0.328,0.193,-0.717
138,0.016,0.016,-0.036,0.082,0.113,0.987,0.346,0.171,-0.715
139,0.014,0.004,-0.023,0.082,0.116,0.984,0.327,0.156,-0.685
140,-0.009,-0.02,-0.001,0.066,0.11,0.975,0.327,0.156,-0.685
141,-0.02,-0.035,0.008,0.062,0.102,0.978,0.331,0.174,-0.709
142,-0.011,-0.031,0.002,0.069,0.108,0.985,0.339,0.166,-0.697
143,0.004,-0.019,0.002,0.075,0.117,0.99,0.319,0.195,-0.703
144,0.004,-0.009,0.0,0.072,0.116,0.991,0.312,0.171,-0.714
145,-0.003,0.004,-0.011,0.071,0.109,1.0,0.321,0.18,-0.706
146,0.0,0.037,-0.037,0.069,0.108,0.994,0.312,0.18,-0.699
147,-0.013,0.058,-0.047,0.061,0.114,0.988,0.334,0.181,-0.717
