,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
157,-1.2,-3.3,1.0,-0.03,-0.025,1.038,-0.178,-0.022,-1.063
158,-1.1,-3.4,1.6,-0.027,-0.024,1.037,-0.186,-0.025,-1.077
159,-1.4,-3.5,9.1,-0.037,-0.027,1.034,-0.168,-0.024,-1.075
160,-1.1,-3.4,1.8,-0.029,0.013,1.038,-0.18,-0.033,-1.08
161,-1.1,-3.4,-2.4,-0.024,-0.051,1.03,-0.186,-0.013,-1.069
162,-1.1,-3.5,0.8,-0.023,0.028,1.046,-0.174,-0.024,-1.071
163,-1.4,-3.4,0.2,-0.012,0.03,1.04,-0.186,-0.019,-1.08
164,-1.1,-3.7,3.8,-0.036,-0.005,1.033,-0.175,-0.025,-1.077
165,-0.6,-3.4,0.8,-0.024,-0.061,1.027,-0.178,-0.018,-1.078
166,-1.4,-3.5,1.3,-0.028,-0.061,1.034,-0.181,-0.018,-1.074
167,-1.2,-3.5,0.8,-0.03,-0.027,1.036,-0.171,-0.028,-1.065
168,-1.1,-3.4,0.5,-0.029,-0.026,1.038,-0.168,-0.021,-1.075
169,-1.1,-3.5,0.4,-0.028,-0.031,1.037,-0.177,-0.024,-1.077
170,-1.2,-3.4,1.0,-0.029,-0.026,1.038,-0.174,-0.019,-1.078
171,-1.2,-3.3,1.0,-0.03,-0.028,1.038,-0.178,-0.03,-1.081
172,-1.2,-3.3,1.0,-0.029,-0.025,1.037,-0.177,-0.033,-1.075
173,-1.3,-3.2,1.1,-0.029,-0.026,1.04,-0.181,-0.031,-1.062
174,-1.3,-3.2,1.0,-0.029,-0.027,1.038,-0.181,-0.028,-1.072
175,-1.4,-3.3,0.9,-0.033,-0.025,1.039,-0.183,-0.024,-1.072
176,-1.3,-3.2,1.1,-0.03,-0.026,1.038,-0.184,-0.021,-1.069
177,-1.3,-3.3,1.0,-0.026,-0.025,1.039,-0.174,-0.016,-1.075
178,-1.4,-3.2,0.7,-0.03,-0.028,1.037,-0.183,-0.027,-1.074
179,-1.1,-3.4,0.9,-0.031,-0.022,1.041,-0.184,-0.024,-1.08
180,-1.1,-3.5,1.1,-0.029,-0.027,1.04,-0.181,-0.027,-1.077
181,-1.1,-3.5,0.9,-0.028,-0.027,1.039,-0.189,-0.025,-1.083
182,-1.1,-3.5,1.0,-0.032,-0.022,1.038,-0.186,-0.03,-1.078
183,-1.1,-3.5,0.9,-0.029,-0.032,1.038,-0.189,-0.027,-1.078
184,-1.1,-3.5,1.0,-0.028,-0.021,1.037,-0.174,-0.024,-1.072
185,-1.1,-3.5,1.1,-0.029,-0.028,1.039,-0.187,-0.019,-1.08
186,-1.2,-3.5,1.1,-0.032,-0.025,1.038,-0.174,-0.021,-1.068
187,-1.1,-3.5,1.1,-0.029,-0.024,1.038,-0.184,-0.022,-1.068
188,-1.2,-3.5,1.1,-0.028,-0.03,1.034,-0.181,-0.021,-1.077
189,-1.1,-3.5,1.0,-0.032,-0.022,1.036,-0.177,-0.018,-1.081
190,-1.1,-3.5,1.1,-0.031,-0.03,1.037,-0.181,-0.019,-1.068
191,-1.1,-3.5,1.1,-0.027,-0.024,1.037,-0.18,-0.022,-1.066
192,-1.1,-3.5,1.0,-0.029,-0.027,1.035,-0.169,-0.028,-1.068
193,-1.1,-3.5,0.9,-0.031,-0.027,1.036,-0.18,-0.01,-1.069
194,-1.1,-3.5,1.0,-0.03,-0.023,1.038,-0.187,-0.022,-1.089
195,-1.1,-3.5,1.0,-0.027,-0.03,1.038,-0.186,-0.022,-1.069
196,-1.1,-3.5,1.0,-0.03,-0.023,1.037,-0.177,-0.021,-1.066
197,-1.1,-3.5,0.9,-0.031,-0.027,1.037,-0.183,-0.025,-1.081
198,-1.1,-3.4,1.0,-0.028,-0.025,1.038,-0.187,-0.024,-1.069
199,-1.1,-3.5,1.0,-0.031,-0.025,1.038,-0.19,-0.03,-1.072
200,-1.2,-3.5,1.0,-0.029,-0.028,1.039,-0.178,-0.016,-1.068
201,-1.2,-3.5,0.9,-0.03,-0.022,1.039,-0.174,-0.027,-1.077
202,-1.2,-3.5,1.1,-0.028,-0.028,1.039,-0.18,-0.016,-1.072
203,-1.1,-3.4,1.0,-0.031,-0.026,1.04,-0.178,-0.025,-1.074
204,-1.1,-3.5,0.8,-0.029,-0.026,1.042,-0.18,-0.021,-1.071
