,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
6504,0.091,-0.203,-0.026,0.627,0.165,0.73,0.222,0.504,-0.469
6505,0.084,-0.193,-0.059,0.533,0.156,0.811,0.226,0.51,-0.447
6506,0.074,-0.177,-0.059,0.512,0.219,0.864,0.231,0.496,-0.451
6507,0.009,-0.118,-0.056,0.511,0.184,0.879,0.231,0.523,-0.445
6508,0.238,-0.274,-0.133,0.506,0.171,0.9,0.213,0.505,-0.451
6509,-0.198,-0.062,0.036,0.568,0.037,0.956,0.195,0.502,-0.438
6510,-0.088,-0.114,-0.072,0.554,0.094,0.898,0.214,0.516,-0.427
6511,-0.041,-0.105,-0.07,0.474,0.248,0.857,0.217,0.519,-0.453
6512,0.054,-0.053,-0.012,0.511,0.204,0.859,0.232,0.514,-0.448
6513,0.027,-0.082,-0.044,0.465,0.277,0.765,0.22,0.501,-0.43
6514,-0.075,-0.082,-0.05,0.496,0.246,0.794,0.228,0.502,-0.447
6515,-0.042,-0.057,-0.045,0.569,0.17,0.831,0.223,0.511,-0.45
6516,0.023,-0.088,-0.051,0.532,0.218,0.797,0.213,0.498,-0.427
6517,-0.004,-0.079,-0.049,0.535,0.202,0.829,0.202,0.498,-0.432
6518,-0.025,-0.067,-0.05,0.534,0.204,0.82,0.202,0.498,-0.432
6519,0.0,-0.088,-0.059,0.534,0.204,0.82,0.192,0.495,-0.43
6520,-0.006,-0.098,-0.062,0.528,0.204,0.82,0.192,0.495,-0.43
6521,-0.045,-0.07,-0.073,0.53,0.194,0.828,0.225,0.514,-0.438
6522,-0.025,-0.109,-0.087,0.53,0.191,0.821,0.192,0.493,-0.417
6523,-0.035,-0.143,-0.081,0.522,0.21,0.82,0.217,0.489,-0.435
6524,-0.047,-0.17,-0.089,0.535,0.218,0.826,0.21,0.499,-0.43
6525,-0.073,-0.212,-0.097,0.544,0.203,0.824,0.196,0.486,-0.409
6526,-0.092,-0.276,-0.095,0.541,0.197,0.826,0.217,0.489,-0.43
6527,-0.117,-0.343,-0.092,0.54,0.196,0.835,0.199,0.483,-0.424
6528,-0.13,-0.44,-0.079,0.544,0.202,0.833,0.205,0.495,-0.408
6529,-0.169,-0.546,-0.074,0.552,0.192,0.833,0.204,0.495,-0.402
6530,-0.189,-0.713,-0.119,0.557,0.188,0.845,0.204,0.487,-0.396
6531,-0.21,-0.842,-0.167,0.536,0.246,0.843,0.163,0.489,-0.373
6532,-0.2,-1.048,-0.205,0.511,0.283,0.851,0.19,0.483,-0.379
6533,-0.248,-1.374,-0.262,0.51,0.26,0.885,0.177,0.486,-0.333
6534,-0.219,-1.819,-0.49,0.458,0.261,0.947,0.177,0.486,-0.333
6535,-0.203,-2.415,-0.759,0.385,0.403,1.016,0.163,0.46,-0.327
6536,-0.191,-2.88,-0.835,0.385,0.403,1.016,0.163,0.469,-0.226
6537,0.241,-4.155,-0.847,-0.281,0.739,1.378,0.163,0.469,-0.226
6538,0.221,-2.855,-1.061,0.475,0.878,1.199,0.156,0.453,-0.217
6539,0.613,-1.967,-0.782,1.746,0.598,0.976,0.169,0.442,-0.139
6540,0.46,-0.558,-0.34,1.262,0.643,1.207,0.174,0.411,-0.102
6541,0.417,-0.035,-0.083,0.701,0.919,1.557,0.186,0.405,-0.088
6542,0.247,0.346,-0.38,0.178,0.703,1.52,0.154,0.408,-0.07
6543,0.215,0.576,-0.535,-0.141,0.229,1.154,0.159,0.388,-0.099
6544,0.19,1.054,-0.456,-0.109,0.267,1.107,0.159,0.381,-0.114
6545,0.094,1.379,-0.197,0.0,0.435,0.921,0.13,0.387,-0.108
6546,0.06,1.618,0.149,0.109,0.451,0.846,0.126,0.367,-0.135
6547,0.102,1.785,0.441,0.282,0.487,0.763,0.126,0.348,-0.139
6548,0.007,1.978,0.631,0.345,0.449,0.747,0.099,0.366,-0.178
6549,-0.054,2.095,0.683,0.459,0.319,0.779,0.115,0.372,-0.229
6550,-0.133,2.156,0.689,0.565,0.24,0.812,0.118,0.382,-0.238
6551,-0.188,2.212,0.683,0.688,0.184,0.882,0.123,0.403,-0.27
6552,-0.212,2.116,0.658,0.846,0.201,0.925,0.138,0.411,-0.315
6553,-0.2,1.941,0.667,1.135,0.293,0.988,0.138,0.411,-0.315
6554,-0.225,2.02,0.723,1.135,0.293,0.988,0.129,0.417,-0.351
6555,-0.206,1.893,0.7,1.244,0.351,0.98,0.136,0.429,-0.372
6556,-0.308,1.704,0.637,1.156,0.304,0.912,0.159,0.438,-0.393
6557,-0.401,1.565,0.588,1.151,0.183,0.922,0.177,0.454,-0.427
6558,-0.501,1.694,0.52,1.328,0.128,1.011,0.186,0.463,-0.445
6559,-0.602,1.773,0.438,1.459,0.059,1.009,0.19,0.46,-0.466
6560,-0.616,1.646,0.398,1.35,-0.013,0.867,0.19,0.481,-0.49
6561,-0.566,1.479,0.348,1.326,0.002,0.705,0.229,0.49,-0.493
6562,-0.583,1.132,0.295,1.312,0.0,0.489,0.244,0.487,-0.51
6563,-0.654,0.817,0.277,1.247,-0.067,0.301,0.25,0.49,-0.522
6564,-0.527,0.47,0.193,1.387,-0.087,0.141,0.268,0.522,-0.538
6565,-0.087,-0.093,0.044,1.386,-0.022,-0.079,0.283,0.543,-0.523
6566,0.671,-0.932,-0.018,1.218,0.148,-0.24,0.297,0.532,-0.525
6567,0.679,-1.087,0.075,1.282,-0.013,-0.299,0.276,0.525,-0.511
6568,0.508,-0.805,0.034,1.234,-0.184,0.098,0.283,0.511,-0.513
6569,0.785,-1.86,-0.811,0.292,0.09,1.248,0.256,0.514,-0.538
6570,0.219,-1.033,-0.614,0.135,-0.129,1.616,0.256,0.514,-0.538
