,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
130,0.002,-0.001,-0.007,-0.009,0.011,1.0,0.793,0.235,-0.549
131,0.003,0.0,-0.005,-0.008,0.011,0.999,0.799,0.234,-0.561
132,0.003,0.0,-0.005,-0.008,0.011,0.999,0.769,0.24,-0.562
133,0.0,-0.008,-0.004,-0.009,0.012,0.997,0.769,0.237,-0.543
134,0.002,-0.004,-0.005,-0.011,0.012,0.999,0.769,0.237,-0.543
135,0.002,0.0,-0.006,-0.012,0.014,1.0,0.763,0.255,-0.552
136,0.002,0.0,-0.006,-0.011,0.016,1.0,0.775,0.255,-0.541
137,0.002,-0.002,-0.006,-0.011,0.015,0.999,0.775,0.255,-0.541
138,0.002,-0.004,-0.006,-0.011,0.013,0.999,0.774,0.238,-0.541
139,0.002,-0.001,-0.007,-0.011,0.013,1.0,0.783,0.246,-0.544
140,0.001,-0.004,-0.006,-0.009,0.013,1.0,0.771,0.231,-0.547
141,0.002,-0.002,-0.005,-0.01,0.013,0.999,0.763,0.249,-0.538
142,0.003,-0.001,-0.006,-0.012,0.016,0.998,0.774,0.249,-0.558
143,0.003,-0.002,-0.007,-0.011,0.014,0.999,0.765,0.247,-0.55
144,0.002,-0.002,-0.007,-0.008,0.015,1.0,0.765,0.247,-0.55
145,0.002,-0.002,-0.005,-0.008,0.016,0.998,0.774,0.237,-0.547
146,0.002,-0.001,-0.006,-0.01,0.013,1.001,0.777,0.244,-0.535
147,0.002,-0.002,-0.007,-0.01,0.014,1.002,0.784,0.259,-0.546
148,0.002,-0.002,-0.006,-0.01,0.015,0.999,0.784,0.259,-0.546
149,0.002,0.0,-0.005,-0.01,0.014,0.999,0.786,0.24,-0.526
150,0.002,-0.001,-0.006,-0.009,0.014,0.999,0.784,0.232,-0.541
151,0.002,-0.002,-0.006,-0.009,0.014,0.999,0.784,0.232,-0.541
152,0.002,-0.001,-0.005,-0.011,0.013,1.0,0.781,0.255,-0.553
153,0.002,-0.001,-0.005,-0.01,0.014,0.999,0.772,0.256,-0.555
154,0.003,-0.007,-0.004,-0.009,0.014,0.999,0.795,0.231,-0.553
155,0.002,-0.002,-0.005,-0.012,0.014,1.0,0.787,0.247,-0.543
156,0.002,-0.002,-0.005,-0.012,0.016,1.0,0.772,0.237,-0.552
157,0.002,-0.001,-0.004,-0.011,0.014,0.999,0.777,0.238,-0.537
158,0.003,-0.001,-0.005,-0.012,0.013,0.999,0.777,0.238,-0.537
159,0.002,0.0,-0.007,-0.01,0.013,0.999,0.784,0.24,-0.562
160,0.003,-0.001,-0.006,-0.011,0.014,1.0,0.781,0.243,-0.552
161,0.0,0.0,-0.005,-0.012,0.014,1.0,0.76,0.249,-0.531
162,0.0,0.0,-0.006,-0.009,0.012,0.999,0.78,0.246,-0.55
163,0.002,-0.002,-0.007,-0.009,0.014,0.999,0.777,0.234,-0.541
164,0.002,-0.001,-0.007,-0.01,0.014,1.0,0.777,0.249,-0.553
165,0.003,-0.002,-0.005,-0.011,0.012,1.0,0.777,0.249,-0.553
166,0.002,-0.002,-0.007,-0.009,0.014,0.999,0.771,0.237,-0.565
167,0.002,-0.001,-0.006,-0.009,0.014,0.999,0.778,0.246,-0.547
168,0.004,-0.003,-0.006,-0.011,0.012,0.999,0.789,0.241,-0.525
169,0.003,-0.001,-0.007,-0.012,0.011,0.999,0.79,0.238,-0.526
170,0.002,-0.002,-0.006,-0.012,0.011,0.999,0.775,0.267,-0.556
171,0.002,-0.002,-0.006,-0.012,0.011,1.001,0.774,0.253,-0.547
172,0.002,-0.002,-0.005,-0.011,0.014,1.002,0.774,0.253,-0.547
