gyroX[mdps],gyroY[mdps],gyroZ[mdps],magX[mG],magY[mG],magZ[mG],accX[mg],accY[mg],accZ[mg],hh:mm:ss.ms
2,0,-14,705,204,-522,-21,59,999,0:48:38
2,-1,-13,712,208,-538,-21,59,999,0:48:38
2,-1,-13,711,204,-535,-21,59,999,0:48:38
3,-1,-14,714,205,-531,-21,59,999,0:48:38
2,0,-13,718,211,-538,-22,59,1000,0:48:38
2,-2,-13,724,210,-535,-22,58,1000,0:48:38
2,-2,-13,705,207,-522,-22,59,1000,0:48:38
2,-2,-13,705,207,-522,-22,59,1000,0:48:38
2,-1,-13,718,208,-538,-22,59,999,0:48:38
2,-1,-13,714,205,-540,-21,59,999,0:48:38
2,-1,-13,709,205,-532,-21,59,999,0:48:38
2,-1,-13,715,210,-538,-21,59,999,0:48:38
2,-2,-13,706,211,-532,-21,59,999,0:48:38
2,-1,-13,718,217,-531,-21,59,999,0:48:38
2,-1,-13,709,211,-535,-21,59,999,0:48:38
2,-1,-13,711,219,-544,-21,59,999,0:48:38
2,0,-13,709,216,-531,-21,59,1000,0:48:38
2,-1,-13,717,222,-532,-21,59,999,0:48:38
2,-2,-13,718,211,-544,-21,59,1000,0:48:38
2,-1,-13,715,210,-534,-21,59,1000,0:48:38
2,-2,-13,715,211,-528,-22,59,1000,0:48:38
2,-1,-13,714,216,-534,-22,59,1000,0:48:38
2,-2,-13,711,211,-528,-22,59,999,0:48:38
2,0,-13,708,210,-534,-22,59,999,0:48:38
2,-1,-13,712,211,-532,-22,59,1000,0:48:38
2,-2,-13,724,207,-540,-21,59,1000,0:48:38
2,-1,-13,714,211,-541,-21,59,1000,0:48:38
2,-1,-13,714,211,-541,-21,59,1000,0:48:38
2,-2,-13,709,210,-529,-22,59,1000,0:48:38
2,0,-14,712,213,-532,-22,59,1000,0:48:38
2,0,-13,723,204,-537,-22,59,999,0:48:38
2,-1,-13,715,207,-532,-21,59,999,0:48:38
2,-2,-13,720,219,-537,-21,59,1000,0:48:38
17,-7,-12,714,219,-535,-22,59,1000,0:48:38
36,-25,-12,708,205,-531,-24,62,997,0:48:38
32,-7,-11,717,202,-534,-21,60,994,0:48:38
22,-3,-10,718,219,-541,-18,55,1000,0:48:38
22,5,-15,718,213,-532,-21,55,1000,0:48:38
21,10,0,720,211,-540,-21,54,998,0:48:38
19,22,-9,711,213,-534,-18,54,1000,0:48:38
20,30,4,711,213,-534,-18,55,1002,0:48:38
31,49,56,718,208,-535,-18,49,997,0:48:38
29,37,81,723,207,-534,-21,47,996,0:48:38
16,5,20,724,205,-532,-30,53,1005,0:48:38
4,-36,15,732,213,-540,-32,53,1009,0:48:38
10,-32,23,724,201,-532,-23,49,997,0:48:39
7,-21,10,718,205,-541,-27,52,1002,0:48:39
-2,-14,-7,717,213,-540,-27,52,1002,0:48:39
7,-14,-12,721,202,-537,-27,53,1001,0:48:39
20,-2,-6,715,207,-532,-24,52,996,0:48:39
14,2,-1,723,207,-532,-22,50,997,0:48:39
8,2,-1,717,204,-534,-22,48,1001,0:48:39
6,1,3,715,213,-532,-23,48,1002,0:48:39
2,-6,21,712,199,-526,-23,46,1001,0:48:39
-7,-14,-8,712,205,-541,-24,48,1001,0:48:39
-16,-28,-15,711,204,-540,-26,51,1001,0:48:39
-21,-28,-19,715,201,-529,-26,48,1001,0:48:39
-19,-14,-19,715,201,-529,-22,50,999,0:48:39
-18,-13,-19,717,202,-528,-19,51,999,0:48:39
-11,-20,-21,700,210,-538,-22,52,1001,0:48:39
-4,-18,-23,720,202,-532,-22,54,1000,0:48:39
0,-17,-29,714,213,-537,-20,54,997,0:48:39
2,5,-23,717,204,-537,-13,52,997,0:48:39
2,11,-16,717,204,-537,-18,52,1003,0:48:39
2,0,-10,720,204,-549,-18,52,1003,0:48:39
1,-47,-3,711,216,-534,-22,52,1005,0:48:39
2,-140,28,714,216,-540,-20,50,1009,0:48:39
-4,-147,13,723,207,-543,-21,48,1010,0:48:39
-8,-13,-19,714,214,-540,-9,55,989,0:48:39
-8,-13,-17,711,211,-547,-5,58,989,0:48:39
0,-19,4,723,219,-538,-10,53,1002,0:48:39
4,-3,43,712,207,-534,-3,49,997,0:48:39
3,-1,39,720,208,-531,-4,50,998,0:48:39
2,-3,53,715,210,-541,-8,54,1000,0:48:39
1,2,102,715,210,-541,-5,48,1000,0:48:39
0,6,106,711,198,-520,-2,43,1000,0:48:39
-10,-5,67,714,198,-543,-6,51,1001,0:48:39
-17,-4,85,714,205,-531,-7,41,1001,0:48:39
-20,3,79,714,196,-543,-10,21,1002,0:48:39
-10,-7,44,717,201,-535,-22,8,1004,0:48:39
28,18,-113,718,198,-541,-64,-61,1006,0:48:39
11,-31,-247,709,202,-519,-40,-70,1009,0:48:39
26,8,-268,720,198,-546,-40,-70,1009,0:48:39
70,-18,-298,714,207,-538,-24,-119,1005,0:48:39
238,-90,-350,699,204,-526,-19,-137,989,0:48:39
