gyroX[mdps],gyroY[mdps],gyroZ[mdps],magX[mG],magY[mG],magZ[mG],accX[mg],accY[mg],accZ[mg],hh:mm:ss.ms
2,0,-7,246,154,111,-4,-24,-1008,14:43.3
2,-1,-7,246,154,111,-4,-24,-1008,14:43.3
2,-1,-7,250,144,108,-4,-24,-1008,14:43.3
2,-1,-7,250,150,102,-4,-24,-1008,14:43.4
2,0,-7,247,151,111,-4,-24,-1008,14:43.4
2,0,-7,250,151,112,-4,-24,-1007,14:43.4
2,-2,-7,253,145,106,-4,-24,-1008,14:43.4
2,-2,-7,256,159,108,-5,-23,-1008,14:43.4
2,-1,-7,247,150,109,-5,-24,-1008,14:43.5
2,-1,-7,252,153,117,-5,-24,-1007,14:43.5
2,0,-7,247,144,115,-5,-24,-1008,14:43.5
2,-1,-7,250,147,103,-4,-24,-1008,14:43.5
2,-1,-7,246,148,106,-4,-24,-1008,14:43.5
2,-1,-7,255,151,111,-5,-24,-1008,14:43.6
2,-2,-7,244,156,114,-4,-24,-1007,14:43.6
2,-1,-7,255,147,108,-4,-24,-1007,14:43.6
2,0,-7,252,150,111,-4,-24,-1008,14:43.6
2,0,-7,247,156,103,-4,-24,-1008,14:43.6
2,0,-7,247,156,103,-4,-24,-1008,14:43.7
2,-1,-7,250,147,106,-4,-24,-1007,14:43.7
2,-1,-7,255,157,105,-5,-23,-1007,14:43.7
2,0,-7,253,147,108,-4,-24,-1008,14:43.7
2,-1,-7,249,150,112,-4,-24,-1008,14:43.7
2,-2,-7,258,153,120,-4,-24,-1008,14:43.8
2,0,-7,247,147,124,-4,-23,-1008,14:43.8
2,-1,-7,253,142,114,-5,-23,-1008,14:43.8
2,-1,-7,256,153,112,-5,-23,-1007,14:43.8
2,0,-7,253,148,114,-5,-23,-1008,14:43.8
2,0,-7,247,141,120,-4,-23,-1007,14:43.9
2,-1,-7,255,150,123,-5,-24,-1007,14:43.9
2,0,-7,250,148,111,-5,-24,-1007,14:43.9
2,0,-7,250,148,111,-4,-24,-1007,14:43.9
2,0,-7,250,151,121,-4,-24,-1008,14:43.9
2,-1,-7,250,151,121,-4,-24,-1008,14:44.0
2,0,-7,244,151,112,-4,-24,-1008,14:44.0
2,-2,-7,253,157,129,-4,-24,-1008,14:44.0
2,-2,-7,252,141,115,-5,-24,-1008,14:44.0
2,0,-7,246,148,112,-5,-23,-1008,14:44.0
2,-1,-7,246,147,103,-4,-24,-1008,14:44.1
2,0,-7,244,148,124,-4,-24,-1008,14:44.1
